symbol,name,marketcap,debt_ratio,growth,id,oneyearhigh,price,eps,float,insider_own,percent_institutions_own,price_percent_from_1_yr_hi,price_to_revenue,volume,lt_debt,ebitda
ABUS,Arbutus Biopharma Corporation,205509616,NaN,1.319,829,6.48,2.54,-2.319,51054552,30.162,35.036,0.39,20.0953,1193887,NA,-71643000
AEMD,"Aethlon Medical, Inc",16097086,NaN,1.584,1045,6.89,1.37,-1.039,11803637,5.033,12.522,0.20,11.9841,136000,NA,-5969840
AERO,"Aerogrow International, Inc",109849600,0.19,2.667,1057,6.09,3.28,0.11,6580685,80.997,0.011000000000000001,0.54,2.1612,21900,900000.00,4693000
AEYE,"AudioEye, Inc",156656160,-0.22,1.169,1069,22.8,16.13,-0.771,4210290,52.259,4.075,0.71,9.8922,130510,1302000.00,-6043775
AHGIF,Alternate Health Corp,5882414,NaN,4.961,1196,0.1865,0.07,-0.367,52519411,27.445000000000004,3.9800000000000004,0.38,0.8579,46300,1341553.00,NA
ALPN,"Alpine Immune Sciences, Inc",176721056,-0.20,0.213,1383,15,7.43,-1.779,8966888,40.52,44.393,0.50,47.0413,53000,9873000.00,-48231000
ALTAF,Altura Mining Limited,202913392,NaN,123.176,1403,0.1,0.06,-0.005,1195187387,49.825,6.622,0.60,1.443,128500,NA,NA
AMHPF,Verde Agritech Plc,23028742,NaN,0.875,1477,0.61,0.5,-0.041,37681921,17.374000000000002,0.174,0.82,4.3942,21500,310000.00,NA
ANXGF,Anaconda Mining Inc,71915576,NaN,0.523,1620,0.594,0.47,0.012,134525297,5.729,0.902,0.80,2.45,26518,1352159.00,NA
APM,Aptorum Group Limited,47102484,NaN,0.365,1684,17.15,1.55,-0.536,4730615,37.66,0.013,0.09,114.3717,199800,NA,-12622395
APT,"Alpha Pro Tech, Ltd",175418496,NaN,1.234,1710,27.5,12.79,0.922,11320441,17.574,24.51,0.47,2.5476,1207329,NA,14168000
AQSZF,Aequus Pharmaceuticals Inc,10018445,NaN,0.367,1744,0.1349,0.09,-0.028,100550113,8.857,8.019,0.66,5.6425,31150,2004486.00,NA
ARFXF,"ProMIS Neurosciences, Inc",30967630,NaN,1.531,1783,0.23,0.11,-0.026,260725814,10.343,0.13999999999999999,0.48,18235.092,94000,NA,NA
ASTC,Astrotech Corporation,15605447,NaN,0.885,1943,6,2.06,-1.31,5229597,31.216,10.584,0.34,27.2818,24738800,NA,-8149000
ATCMF,Atico Mining Corporation,51386752,0.09,0.849,1968,0.5,0.42,0.031,93271394,18.058,4.356999999999999,0.85,0.9835,21400,1650000.00,17467174
AWSM,"Cool Holdings, Inc",9373537,-0.32,0.312,2193,1.74,0.08,-1.78,93562838,6.2700000000000005,0.308,0.05,0.0369,113701,3315000.00,-10522000
AYTU,"Aytu BioScience, Inc",130264208,NaN,2.43,2252,2.99,1.08,-0.249,116084744,6.239,12.011,0.36,1.5222,1538771,NA,-14119570
AZNVF,Last Mile Holdings Ltd,14784245,NaN,5.465,2271,0.6855,0.1,-0.457,57415738,17.498,0.959,0.14,8.3834,457170,5025000.00,NA
BABYF,Else Nutrition Holdings Inc,168100560,NaN,5.562,2294,2.795,2.07,0,39256077,52.754,0,0.74,247.5828,102542,NA,NA
BBKCF,BIGG Digital Assets Inc,17051648,NaN,8.615,2359,0.1999,0.14,-0.169,75846829,47.069,0,0.69,27.5387,206281,NA,NA
BERI,"Blue Earth Resources, Inc",801156,NaN,0.417,2505,0.2,0.12,-0.36,0,83.26599999999999,0,0.60,1.4825,39400,NA,-134910
BHTG,"BioHiTech Global, Inc",28672916,-5.41,0.212,2595,2.94,1.27,-0.594,17648286,39.998,6.715,0.43,4.7826,181959,29744474.00,-5493821
BIOX,Bioceres Crop Solutions Corp,221312512,1.40,0.377,2634,7.11,5.69,-0.001,6308448,79.55600000000001,1.5610000000000002,0.80,1.1452,37922,NA,39726428
BLNK,Blink Charging Co,206420496,-0.05,1.197,2768,14.58,6.4,-0.43,21725904,27.868,5.707,0.44,45.228,1481394,495239.00,-10354770
BMRA,"Biomerica, Inc",79565104,NaN,1.337,2819,12.75,6.77,-0.23,9623137,18.831,7.422,0.53,9.7976,238582,NA,-2249885
BNSO,Bonso Electronics International Inc,19735576,2.10,0.992,2871,4.7,3.75,0.08,1172931,77.429,3.004,0.80,1.5854,26288,3085000.00,1467000
BTCY,"Biotricity, Inc",43217308,NaN,0.382,3119,2.21,1.16,-0.348,25228497,23.752000000000002,0.047,0.52,28.2368,21000,1570900.00,NA
BWEN,"Broadwind, Inc",58705292,1.03,0.334,3193,5.78,3.45,-0.059,13793381,15.121,46.182,0.60,0.2801,232737,9500000.00,9230000
BYFC,Broadway Financial Corporation,43180060,NaN,0.205,3232,3.26,1.52,-0.01,15147433,60.899,16.743,0.47,3.9273,1181108,120325000.00,NA
BYRN,Byrna Technologies Inc,238155744,NaN,10.255,3246,2.12,1.75,0,87691717,30.54,10.171,0.83,89.3706,147000,116294.00,NA
CADMF,Chemesis International Inc,18622208,NaN,0.204,3286,1.1126,0.68,0,28405495,5.225,0.012,0.61,1.2035,159177,NA,NA
CANN,General Cannabis Corp,18737744,-0.05,1.116,3324,0.965,0.31,-0.323,50041673,5.638,0.255,0.32,2.6423,241919,600000.00,-11287992
CBWTF,Auxly Cannabis Group Inc,78374736,NaN,2.101,3465,0.731,0.12,-0.075,625070035,12.238,3.3939999999999997,0.17,6.5007,650925,103072000.00,NA
CHCI,"Comstock Holding Companies, Inc",18257432,1.68,0.211,3784,3.67,2.28,0.272,2187984,71.873,2.405,0.62,0.7102,25519,6064000.00,3617000
CHOOF,Choom Holdings Inc,13203611,NaN,19.388,3844,0.3068,0.07,-0.058,212189972,6.053999999999999,0,0.24,4.994,232512,17355634.00,NA
OCCI,"OFS Credit Company, Inc",35920268,NaN,0.561,3951,17.77,11.16,-7.131,0,32.536,28.643,0.63,0,69277,20665660.00,NA
CLPS,CLPS Incorporation,50139496,NaN,0.382,4215,6.6,3.14,0.034,4433301,75.81400000000001,2.2560000000000002,0.48,0.6666,22095,NA,-1168255
CLSD,"Clearside Biomedical, Inc",79347168,-0.01,6.867,4239,3.95,1.66,-0.428,30696622,8.362,35.208,0.42,10.7207,166630,496000.00,-68909000
CLSK,"CleanSpark, Inc",189707696,-0.09,1.812,4245,13.98,9.75,-4.444,16168459,30.973,1.3339999999999999,0.70,5.6321,2880775,681169.00,-7364529
CLXT,"Calyxt, Inc",195098464,-0.05,4.654,4272,8.41,5.67,-1.359,10200201,69.27799999999999,22.947,0.67,16.2288,90760,1518000.00,-31943000
CMCL,Caledonia Mining Corporation Plc,223470672,0.01,0.39,4283,29.39,18.44,1.95,9767162,18.583,24.324,0.63,2.2613,72600,263000.00,40481000
TANH,Tantech Holdings Ltd,62977584,NaN,0.932,4546,2.2,2.18,-0.22,17089768,40.827000000000005,2.899,0.99,1.2366,25848,NA,1579040
ORGS,Orgenesis Inc,107158320,NaN,0.546,4602,8.2,4.85,2.291,17276108,22.03,15.035000000000002,0.59,2.5102,26824,NA,-11295000
CNPOF,Canopy Rivers Inc,123899224,NaN,0.246,4663,1.85,0.67,0.26,103018994,10.827,27.914,0.36,0,67913,NA,NA
CNTMF,Cansortium Inc,66346576,-0.44,1.174,4714,0.98,0.34,-0.324,101877784,19.692,1.138,0.35,2.0875,40934,12671000.00,-28693000
COHN,Cohen & Company Inc,28923672,NaN,1.28,4834,31.82,23.2,-7.217,517935,82.708,2.569,0.73,0.7726,162900,64209000.00,NA
OTLK,"Outlook Therapeutics, Inc",79184136,-0.02,6.583,4881,1.88,0.61,-1.001,56941150,62.260000000000005,7.574,0.33,5.4666,925000,544924.00,-29723352
OXBR,Oxbridge Re Holdings Limited,6134941,3.00,3.422,4969,2.04,1.06,-0.027,2903202,46.117000000000004,0.645,0.52,5.3885,227400,216000.00,72000
CPAH,CounterPath Corporation,23016962,NaN,0.419,5004,6,3.55,-0.182,3119911,50.32299999999999,0.724,0.59,1.9369,241400,NA,239409
CPLP,Capital Product Partners L.P,119001608,3.92,0.334,5085,14.2,6.39,1.307,15403343,17.257,22.222,0.45,0.9093,90100,356467000.00,90902000
TEUM,Pareteum Corporation,84333152,8.49,4.688,5071,2.33,0.61,-0.204,103277101,5.929,33.349000000000004,0.26,0.7158,607103,22419767.00,2639248
CPPMF,Copper Mountain Mining Corporation,145749184,NaN,0.398,5107,0.77,0.74,0.043,123442969,6.069,43.358999999999995,0.96,0.6633,156600,187158000.00,NA
TTOO,"T2 Biosystems, Inc",193813168,-0.92,0.415,5358,3.15,1.31,-0.763,140630250,5.944,9.382,0.42,10.1797,2361959,44000000.00,-47715000
TURN,180 Degree Capital Corp,62865632,NaN,0.821,5439,2.3,2.02,-0.124,29272008,5.2330000000000005,34.195,0.88,42.8834,67642,NA,-2450270
TURV,Two Rivers Water & Farming Company,12598772,-0.34,20.6,5442,0.3051,0.14,-0.085,62352416,44.848,0,0.47,47.6601,34129,868000.00,-2544000
CTRM,Castor Maritime Inc,19616194,5.43,1.94,5830,4.09,0.15,0.17,5770739,16.185,1.9140000000000001,0.04,0.1456,7901300,12662043.00,2333863
CTSDF,Converge Technology Solutions Corp,153193856,NaN,0.442,5836,1.415,1.42,0,76018962,22.491,0,1.00,0.1721,23965,13937000.00,NA
PGTK,Pacific Green Technologies Inc,39353600,NaN,4.981,5961,3.66,0.86,0.353,29071310,44.023,0,0.23,0.2148,22300,NA,18875792
CURR,CURE Pharmaceutical Holding Corp,84243392,NaN,1.491,6037,4.2499,1.65,-0.264,30914284,34.617,0.027,0.39,57.215,151400,NA,-9953798
PIXY,"ShiftPixy, Inc",66264724,NaN,0.23,6121,27.5,3.99,-6.703,3487276,73.26599999999999,3.105,0.15,0.838,280710,NA,-9597321
CVLB,"Conversion Labs, Inc",84565448,NaN,2.369,6146,2.14,1.2,-0.135,51153121,35.985,0,0.56,3.7806,312464,NA,-2222758
POWW,"AMMO, Inc",112419392,-1.00,1.155,6960,3.07,2.39,-0.3,34004194,29.270000000000003,0.01,0.78,5.7019,22600,9287287.00,-9269068
DECN,Decision Diagnostics Corp,39898660,NaN,0.235,6926,0.47,0.2,-0.021,157926313,11.521,0,0.42,0.9351,1632397,NA,NA
VLNCF,The Valens Company Inc,203174560,NaN,1.003,6962,3.149,1.56,0,119906335,17.089,0,0.50,2.8773,99410,17596000.00,NA
DFCO,Dalrada Financial Corporation,4799932,NaN,9.211,7043,0.119,0.07,-0.042,51854653,8.24,0,0.63,14.3634,125532,NA,NA
PRKA,"Parks! America, Inc",30758816,2.56,0.507,7197,0.32,0.41,0.02,33149767,73.271,0,1.28,3.2171,276054,6709723.00,2625790
VRME,"VerifyMe, Inc",20462268,-0.03,0.859,7272,4.97,3.67,-2.13,4873146,31.971,0,0.74,60.0256,94687,72400.00,-2213360
VRNDF,Delta 9 Cannabis Inc,40829932,NaN,1.087,7275,0.64,0.46,-0.118,55880646,42.555,0.151,0.72,1.2618,80674,18549267.00,NA
VRSSF,Versus Systems Inc,35550776,NaN,0.418,7309,0.335,0.24,-0.056,123554568,23.54,0.002,0.72,67.3771,236801,6106612.00,NA
VSTM,"Verastem, Inc",205133728,-0.40,0.373,7392,4.6699,1.21,-1.225,156496948,6.722,28.229,0.26,5.9731,3646400,51280000.00,-127135000
PSHG,Performance Shipping Inc,28796628,4.48,2.526,7448,1.11,0.57,0,22003555,57.445,3.215,0.51,0.528,28484,53816000.00,12018500
VUZI,Vuzix Corporation,161867024,-0.04,0.389,7465,5.1,4.15,-0.786,34663339,12.985,15.985,0.81,18.8574,2357500,871614.00,-19644088
VVCIF,VIVO Cannabis Inc,47027528,NaN,0.787,7468,0.395,0.16,-0.129,221963833,35.96,2.849,0.41,2.1312,48130,NA,NA
PSV,Hermitage Offshore Services Ltd,10652268,199.12,1.384,7545,1.75,0.34,-19.927,16383205,73.19200000000001,16.269,0.19,0.4795,9436600,141575000.00,711000
DMTK,"DermTech, Inc",204761552,NaN,0.375,7557,16.95,10.5,-3.343,7903523,29.973,33.537,0.62,23.0366,288802,NA,-10288739
VVPR,VivoPower International PLC,95715240,10.20,0.625,7522,10.69,7.06,-0.38,5281380,81.284,1.0710000000000002,0.66,1.6948,1417140,23927000.00,1794000
VVUS,"VIVUS, Inc",8335282,10.20,0.216,7524,4.38,0.11,-2.703,14821433,7.0889999999999995,19.064999999999998,0.03,0.0114,719836,58910000.00,5776000
VYGVF,Voyager Digital Ltd,58700740,NaN,9.592,7548,1.03,0.7,0.028,70527884,14.113000000000001,0,0.68,80.5754,46439,NA,NA
PTE,"PolarityTE, Inc",41452552,-0.02,0.709,7605,5.08,1.07,-2.236,22169275,39.237,22.495,0.21,5.6179,246165,2410000.00,-129579000
WAFU,Wah Fu Education Group Limited,15552656,NaN,0.274,7586,8.7,3.54,-0.394,1181039,73.042,0.303,0.41,2.9303,178500,NA,-1107567
WATT,Energous Corporation,127389632,NaN,1.408,7608,4.58,3.06,-0.996,37177346,16.695,18.921,0.67,411.178,439300,NA,-45261312
PTQQF,Protech Home Medical Corp,119374496,NaN,0.283,7687,1.01,1.05,0,106725854,7.053,12.794,1.04,1.1797,115161,15461000.00,NA
PURE,"PURE Bioscience, Inc",133460896,NaN,6.119,7729,2.05,1.5,-0.03,57621735,42.703,0.02,0.73,32.5578,73400,NA,-5677000
PVBC,"Provident Bancorp, Inc",163567312,NaN,0.249,7749,25.75,8.4,0.597,17297693,36.312,41.496,0.33,2.6609,50977,42021000.00,NA
WDDMF,WeedMD Inc,54348144,NaN,2.653,7731,1.12,0.27,0.033,200179666,22.261,1.608,0.24,1.637,31149,41521953.00,NA
DOCRF,CloudMD Software & Services Inc,145021248,NaN,1.628,7796,1.45,1.25,0,93942068,22.464000000000002,1.418,0.86,13.1268,533596,1917366.00,NA
PW,Power REIT,36460636,9.48,0.968,7821,33.89,19.06,0.522,1186520,30.331999999999997,16.426,0.56,14.0659,31200,23545095.00,2483515
PWFL,"PowerFleet, Inc",166765152,1043.52,0.583,7829,8.5,5.36,0,25489015,13.721,47.542,0.63,1.2937,80005,24001000.00,23000
WEYL,Weyland Tech Inc,91492864,-0.13,0.304,7899,10.5,7.09,-1.069,9530756,6.478000000000001,0,0.68,1.3458,42837,513700.00,-3898835
DRVD,"Driven Deliveries, Inc",25941170,NaN,85.174,7977,2.27,0.34,-0.336,31449737,59.899,0,0.15,1.6717,25281,NA,-4883478
WINR,Simplicity Esports and Gaming Company,10459430,NaN,5.713,8102,2.69,1.28,-0.339,3070416,40.675,4.46,0.48,8.9655,68785,NA,-4224636
QUMU,Qumu Corporation,75180096,NaN,0.74,8213,6.29,5.56,-0.457,9936541,13.333999999999998,45.42,0.88,2.4055,202683,NA,-3390000
RBNC,"Reliant Bancorp, Inc",238795616,NaN,0.924,8353,24.83,14.7,1.247,14817276,10.517999999999999,23.105,0.59,2.034,47541,70413000.00,NA
DYAI,"Dyadic International, Inc",216010096,NaN,0.341,8498,10.98,7.67,-0.304,17973056,30.187,16.256,0.70,123.9681,65043,NA,NA
REKR,"Rekor Systems, Inc",181247296,-6.14,0.891,8527,7.02,6.5,-0.637,16375099,47.224,2.4989999999999997,0.93,6.5751,242600,20626000.00,-3359308
RESN,Resonant Inc,126318864,NaN,8.587,8626,3.58,2.37,-0.769,33730993,13.288,18.988,0.66,62.8194,779600,NA,-27210000
ECOR,"electroCore, Inc",63672036,-0.02,0.209,8640,5.64,1.43,-1.018,37473403,26.281,9.924,0.25,16.4066,377765,858114.00,-54874920
EDSA,"Edesa Biotech, Inc",75408384,-0.01,218.97,8733,10.15,8.01,-0.726,3261577,46.77,24.89,0.79,247.2616,315400,29320.00,-2623543
EDUC,Educational Development Corporation,130834448,1.89,0.388,8802,16.94,15.11,0.74,6335112,22.655,25.474999999999998,0.89,1.0127,23000,17422200.00,9218200
EFLVF,Electrovaya Inc,64822924,NaN,3.13,8902,0.5304,0.5,-0.006,61321216,45.285,1.994,0.95,6.6574,151774,NA,-4530000
WTER,The Alkaline Water Company Inc,87677160,-0.01,0.401,8964,2.6,1.37,-0.272,58653570,12.36,7.031,0.53,1.4902,472400,164193.00,-11376681
